method,repeat,image_index,path,decode_ms,preprocess_ms,h2d_ms,model_score_ms,stage_sum_ms,score
global,0,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,14.883000054396689,3.940200083889067,0.35850005224347115,8.42129997909069,27.603000169619918,3.549840211868286
global,0,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,14.501200057566166,3.9739999920129776,0.49899995792657137,8.727699983865023,27.701899991370738,3.006922483444214
global,0,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,14.547800063155591,3.9619000162929296,0.36509998608380556,8.51469999179244,27.389500057324767,3.5685219764709473
global,0,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,15.599600039422512,4.634200013242662,0.3793999785557389,9.087399928830564,29.700599960051477,4.474905490875244
global,0,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,16.81159995496273,4.550000070594251,0.5550000350922346,8.792800013907254,30.70940007455647,3.876322031021118
global,0,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,15.307600027881563,4.150700056925416,0.3622999647632241,8.521000039763749,28.34160008933395,3.6931345462799072
global,0,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,14.695000019855797,4.416799987666309,0.5344999954104424,8.80960002541542,28.45590002834797,4.722543239593506
global,0,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,14.496700023300946,4.106599953956902,0.40689995512366295,8.521100040525198,27.53129997290671,4.36047887802124
global,0,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,14.843899989500642,4.085800028406084,0.5282999482005835,8.672300027683377,28.130299993790686,10.83604907989502
global,0,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,16.986100003123283,4.560000030323863,0.3776999656111002,12.180999969132245,34.10479996819049,10.990410804748535
global,0,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,17.001100000925362,4.576699924655259,0.5514000076800585,10.644700028933585,32.773899962194264,13.593603134155273
global,0,23,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,16.647599986754358,4.669099929742515,0.40799996349960566,9.173400001600385,30.898099881596863,14.632071495056152
global,0,24,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\004.png,14.972700038924813,4.208099911920726,0.5383000243455172,11.884600040502846,31.603700015693903,7.8201904296875
global,0,25,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\005.png,14.548800070770085,4.118099925108254,0.39870000910013914,8.502500015310943,27.56810002028942,5.357263565063477
global,0,26,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\006.png,14.76569997612387,4.104699939489365,0.35989994648844004,8.70010000653565,27.930399868637323,11.094615936279297
global,0,27,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\007.png,14.309900114312768,4.03470010496676,0.37070002872496843,8.674400043673813,27.38970029167831,12.122003555297852
global,0,28,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\008.png,14.568199985660613,4.081199993379414,0.4225000739097595,8.489200030453503,27.56110008340329,12.101670265197754
global,0,29,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\009.png,16.93759998306632,4.661499988287687,0.3763000713661313,9.113800013437867,31.089200056158006,6.9920148849487305
global,0,30,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\010.png,16.734100063331425,4.506799974478781,0.5401000380516052,7.611799985170364,29.392800061032176,9.243768692016602
global,0,31,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\011.png,14.815600006841123,4.018299980089068,0.4126999992877245,7.531299954280257,26.777899940498173,7.065303325653076
global,0,32,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\012.png,14.93449998088181,3.8997000083327293,0.58230001013726,7.506099995225668,26.922599994577467,8.313076972961426
global,0,33,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\013.png,14.817800023593009,3.839300014078617,0.5623999750241637,7.53689999692142,26.75640000961721,12.109009742736816
global,0,34,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\014.png,15.046400018036366,3.9235999574884772,0.5885999416932464,7.9570000525563955,27.515599969774485,7.605071544647217
global,0,35,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\015.png,14.961200067773461,4.100599908269942,0.584400026127696,7.787999929860234,27.434199932031333,8.567587852478027
global,0,36,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\016.png,15.053399954922497,4.07450005877763,0.5698000313714147,7.6030000345781446,27.300700079649687,12.617390632629395
global,0,37,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\017.png,19.602500018663704,4.134700051508844,0.3664999967440963,9.12970001809299,33.233400085009634,11.072625160217285
global,0,38,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\018.png,14.361500041559339,4.099400015547872,0.38139999378472567,8.688399917446077,27.530699968338013,13.511702537536621
global,0,39,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\019.png,17.05620007123798,4.61059994995594,0.4149999003857374,12.381300097331405,34.463100018911064,11.760763168334961
global,0,40,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\000.png,16.93339995108545,4.609100054949522,0.5535000236704946,12.234300025738776,34.33030005544424,4.970335006713867
global,0,41,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\001.png,14.750999980606139,4.0837000124156475,0.3880000440403819,8.739499957300723,27.96219999436289,5.71414041519165
global,0,42,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\002.png,15.131300082430243,4.053500015288591,0.5644999910145998,9.086200036108494,28.83550012484193,7.03446626663208
global,0,43,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\003.png,15.007399953901768,4.071200033649802,0.42560009751468897,8.714199997484684,28.218400082550943,10.017213821411133
global,0,44,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\004.png,15.210899990051985,3.911500098183751,0.5750999553129077,11.526699992828071,31.224200036376715,9.319270133972168
global,0,45,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\005.png,17.239000066183507,4.4683999149128795,0.4027000395581126,11.444900068454444,33.555000089108944,8.747061729431152
global,0,46,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\006.png,14.42190003581345,3.8339000893756747,0.556600047275424,8.847999968566,27.66040014103055,8.606796264648438
global,0,47,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\007.png,14.809899963438511,3.943899995647371,0.41690003126859665,8.709300076588988,27.880000066943467,4.218527793884277
global,0,48,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\008.png,14.732299954630435,3.9995000697672367,0.3831000067293644,8.683199994266033,27.79810002539307,8.423806190490723
global,0,49,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\009.png,14.786700019612908,4.0979000041261315,0.521700014360249,8.82569991517812,28.23199995327741,5.443727970123291
global,0,50,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\010.png,16.97350002359599,4.091199953109026,0.40040002204477787,8.710499969311059,30.17559996806085,7.249807357788086
global,0,51,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\011.png,14.827999984845519,4.042499931529164,0.5492999916896224,9.718699962832034,29.13849987089634,5.453526496887207
global,0,52,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\012.png,14.591199927963316,3.9109999779611826,0.5789999850094318,10.423500090837479,29.50469998177141,10.358549118041992
global,0,53,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\013.png,16.43409999087453,4.519900074228644,0.5226000212132931,9.121099952608347,30.597700038924813,5.407528877258301
global,0,54,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\014.png,17.150399973616004,4.458299954421818,0.5301000783219934,8.903199923224747,31.041999929584563,5.1480865478515625
global,0,55,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\015.png,15.383500023745,4.1989999590441585,0.38839993067085743,9.068400016985834,29.03929993044585,6.72030782699585
global,0,56,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\016.png,14.959399937652051,3.9385000709444284,0.37670007441192865,8.992899907752872,28.26749999076128,5.688438415527344
global,0,57,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\017.png,15.998499933630228,3.820899990387261,0.561899971216917,9.80959995649755,30.190899851731956,6.591012001037598
global,0,58,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\018.png,14.932299964129925,3.7894999841228127,0.5649999948218465,12.542300042696297,31.82909998577088,7.8438873291015625
global,0,59,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\019.png,17.0889999717474,4.390200017951429,0.5613000830635428,10.760299977846444,32.800800050608814,7.604406356811523
global,0,60,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\020.png,14.641200075857341,4.055100027471781,0.380899989977479,9.065699996426702,28.142900089733303,5.945611000061035
global,0,61,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\021.png,14.81729990337044,4.036400001496077,0.5471999756991863,9.086000034585595,28.486899915151298,5.120784759521484
global,0,62,data\raw\mvtec_anomaly_detection\bottle\test\contamination\000.png,16.725499997846782,3.8130999309942126,0.4229999613016844,10.494899936020374,31.456499826163054,11.47176456451416
global,0,63,data\raw\mvtec_anomaly_detection\bottle\test\contamination\001.png,14.771100017242134,4.253300023265183,0.40909997187554836,7.884899969212711,27.318399981595576,7.6522979736328125
global,0,64,data\raw\mvtec_anomaly_detection\bottle\test\contamination\002.png,14.652200043201447,3.904599929228425,0.42239995673298836,7.865500054322183,26.844699983485043,7.044689178466797
global,0,65,data\raw\mvtec_anomaly_detection\bottle\test\contamination\003.png,14.568899990990758,3.6723000230267644,0.4053999437019229,7.981600007042289,26.628199964761734,4.6928019523620605
global,0,66,data\raw\mvtec_anomaly_detection\bottle\test\contamination\004.png,14.90639999974519,3.8286999333649874,0.5703000351786613,7.97839998267591,27.28379995096475,5.177973747253418
global,0,67,data\raw\mvtec_anomaly_detection\bottle\test\contamination\005.png,14.776500058360398,3.789599984884262,0.5887000588700175,7.905000005848706,27.059800107963383,13.80826187133789
global,0,68,data\raw\mvtec_anomaly_detection\bottle\test\contamination\006.png,14.842399978078902,3.806399996392429,0.5812000017613173,7.851699949242175,27.081699925474823,13.871114730834961
global,0,69,data\raw\mvtec_anomaly_detection\bottle\test\contamination\007.png,18.376699998043478,4.093199968338013,0.6399999838322401,8.070999989286065,31.180899939499795,12.646900177001953
global,0,70,data\raw\mvtec_anomaly_detection\bottle\test\contamination\008.png,17.138900002464652,4.613499972037971,0.3806999884545803,9.34160000178963,31.474699964746833,13.780007362365723
global,0,71,data\raw\mvtec_anomaly_detection\bottle\test\contamination\009.png,17.0265999622643,4.44350007455796,0.7720000576227903,9.476099978201091,31.71820007264614,10.758852005004883
global,0,72,data\raw\mvtec_anomaly_detection\bottle\test\contamination\010.png,14.900899957865477,4.040300031192601,0.5501999985426664,9.482799912802875,28.97419990040362,14.978758811950684
global,0,73,data\raw\mvtec_anomaly_detection\bottle\test\contamination\011.png,14.612800092436373,3.9546999614685774,0.5099000409245491,9.295900003053248,28.373300097882748,11.607462882995605
global,0,74,data\raw\mvtec_anomaly_detection\bottle\test\contamination\012.png,14.646499999798834,4.09080006647855,0.41820004116743803,9.245799970813096,28.40130007825792,14.590176582336426
global,0,75,data\raw\mvtec_anomaly_detection\bottle\test\contamination\013.png,15.553999925032258,3.9380999514833093,0.5543000297620893,11.00229995790869,31.048699864186347,11.32228946685791
global,0,76,data\raw\mvtec_anomaly_detection\bottle\test\contamination\014.png,16.31380000617355,3.952800063416362,0.4072000738233328,9.151299949735403,29.82510009314865,6.655354022979736
global,0,77,data\raw\mvtec_anomaly_detection\bottle\test\contamination\015.png,14.573099906556308,4.044800065457821,0.5781000945717096,9.39609995111823,28.59210001770407,11.904014587402344
global,0,78,data\raw\mvtec_anomaly_detection\bottle\test\contamination\016.png,15.33299998845905,3.9494000375270844,0.43809995986521244,11.190199991688132,30.91069997753948,9.378033638000488
global,0,79,data\raw\mvtec_anomaly_detection\bottle\test\contamination\017.png,15.23100002668798,4.662499995902181,0.38700003642588854,9.444799972698092,29.72530003171414,12.31865406036377
global,0,80,data\raw\mvtec_anomaly_detection\bottle\test\contamination\018.png,14.696700032800436,3.975600004196167,0.4241999704390764,9.381899959407747,28.478399966843426,6.62711238861084
global,0,81,data\raw\mvtec_anomaly_detection\bottle\test\contamination\019.png,14.877600013278425,4.102400038391352,0.5564000457525253,11.879300000146031,31.415700097568333,4.945805072784424
global,0,82,data\raw\mvtec_anomaly_detection\bottle\test\contamination\020.png,14.616800006479025,4.008500021882355,0.4474000306800008,9.368999977596104,28.441700036637485,12.403043746948242
global,1,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,15.6872000079602,4.148000036366284,0.536999898031354,9.99029993545264,30.362499877810478,4.017112731933594
global,1,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,15.000600018538535,3.9724999805912375,0.39109995122998953,11.949900072067976,31.314100022427738,3.364304780960083
global,1,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,14.61439998820424,4.111299989745021,0.5219000158831477,9.406799916177988,28.654399910010397,4.05500602722168
global,1,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,14.653799938969314,4.051900003105402,0.37459994200617075,9.22900007572025,28.309299959801137,4.034145355224609
global,1,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,14.3638999434188,4.427099949680269,0.5132999503985047,9.5564000075683,28.860699851065874,3.6270010471343994
global,1,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,15.344099956564605,3.821199992671609,0.5800999933853745,11.141299968585372,30.88669991120696,3.418855667114258
global,1,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,14.671699958853424,4.06120007392019,0.3787999739870429,9.436800028197467,28.548500034958124,7.6024603843688965
global,1,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,15.241099987179041,4.650200018659234,0.5780999781563878,9.75780002772808,30.227200011722744,3.72442626953125
global,1,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,17.176899942569435,4.738599993288517,0.42529997881501913,9.412999963387847,31.753799878060818,4.842831134796143
global,1,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,16.98519999627024,4.59760008379817,0.3896999405696988,12.11660006083548,34.08910008147359,3.3345985412597656
global,1,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,14.597399975173175,3.98120004683733,0.3758000675588846,9.275999967940152,28.23040005750954,4.065393924713135
global,1,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,15.605999971739948,4.650300019420683,0.3790999762713909,9.554599993862212,30.189999961294234,3.515097141265869
global,1,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,17.092399997636676,4.666499909944832,0.3997000167146325,9.519899962469935,31.678499886766076,3.549840211868286
global,1,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,14.569599996320903,4.312800010666251,0.3692000173032284,9.414800093509257,28.66640011779964,3.006922483444214
global,1,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,16.31560001987964,3.8271999219432473,0.3901999443769455,8.181599900126457,28.71459978632629,3.5685219764709473
global,1,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,14.555900008417666,3.8011999567970634,0.5318999756127596,8.081199950538576,26.970199891366065,4.474905490875244
global,1,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,14.801400015130639,3.8232000079005957,0.4066999536007643,8.158099954016507,27.189399930648506,3.876322031021118
global,1,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,14.809700078330934,3.8704999024048448,0.56900002527982,8.096199948340654,27.345399954356253,3.6931345462799072
global,1,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,14.492100104689598,3.835500101558864,0.5483999848365784,8.211800013668835,27.087800204753876,4.722543239593506
global,1,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,14.551899977959692,4.131299909204245,0.5818000063300133,8.191199973225594,27.456199866719544,4.36047887802124
global,1,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,14.988200040534139,3.969899960793555,0.41310000233352184,8.268599980510771,27.639799984171987,10.83604907989502
global,1,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,16.524099977687,4.647099995054305,0.3874000394716859,12.08420004695654,33.64280005916953,10.990410804748535
global,1,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,16.823799931444228,4.619400016963482,0.5375000182539225,11.469800025224686,33.45049999188632,13.593603134155273
global,1,23,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,16.768199973739684,4.665599903091788,0.5284999497234821,10.45259996317327,32.414899789728224,14.632071495056152
global,1,24,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\004.png,17.09620002657175,4.672699957154691,0.38620003033429384,9.55769990105182,31.712799915112555,7.8201904296875
global,1,25,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\005.png,17.127100029028952,4.51300002168864,0.5493999924510717,12.972599943168461,35.162099986337125,5.357263565063477
global,1,26,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\006.png,17.133899964392185,4.499899921938777,0.4923000233247876,11.514700017869473,33.64079992752522,11.094615936279297
global,1,27,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\007.png,16.84259995818138,4.55890002194792,0.403700047172606,12.728899950161576,34.534099977463484,12.122003555297852
global,1,28,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\008.png,17.22329994663596,4.547500051558018,0.5803999956697226,13.228500029072165,35.57970002293587,12.101670265197754
global,1,29,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\009.png,16.975499922409654,4.506499972194433,0.43400004506111145,11.49269996676594,33.40869990643114,6.9920148849487305
global,1,30,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\010.png,16.937999986112118,4.598199971951544,0.42260007467120886,11.41440006904304,33.37320010177791,9.243768692016602
global,1,31,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\011.png,17.151999985799193,4.644299973733723,0.571100041270256,13.297099969349802,35.664499970152974,7.065303325653076
global,1,32,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\012.png,16.960900044068694,4.39729995559901,0.5464000860229135,11.80249999742955,33.70710008312017,8.313076972961426
global,1,33,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\013.png,17.006500042043626,4.537200089544058,0.3961999900639057,11.608100030571222,33.54800015222281,12.109009742736816
global,1,34,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\014.png,17.42349995765835,4.642599960789084,0.3936000866815448,11.479899985715747,33.93959999084473,7.605071544647217
global,1,35,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\015.png,16.977200051769614,4.644400090910494,0.5189999938011169,9.838199941441417,31.978800077922642,8.567587852478027
global,1,36,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\016.png,16.87549997586757,4.565600072965026,0.45110005885362625,9.741899906657636,31.634100014343858,12.617390632629395
global,1,37,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\017.png,15.67840005736798,4.049999988637865,0.5496001103892922,9.984400006942451,30.26240016333759,11.072625160217285
global,1,38,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\018.png,14.903799979947507,4.015599959529936,0.3969999961555004,13.187099946662784,32.50349988229573,13.511702537536621
global,1,39,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\019.png,14.78199998382479,3.9315999019891024,0.5223000189289451,9.961600066162646,29.197499970905483,11.760763168334961
global,1,40,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\000.png,15.95519995316863,3.6989999935030937,0.3958999877795577,11.930200038477778,31.98029997292906,4.970335006713867
global,1,41,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\001.png,14.644799986854196,4.035599995404482,0.5163999740034342,9.618200012482703,28.814999968744814,5.71414041519165
global,1,42,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\002.png,16.374400001950562,4.7101000091061,0.6046999478712678,13.400600058957934,35.089800017885864,7.03446626663208
global,1,43,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\003.png,17.110000015236437,4.617900005541742,0.5029999883845448,9.57989995367825,31.810799962840974,10.017213821411133
global,1,44,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\004.png,15.111600048840046,4.182799952104688,0.5293999565765262,9.63179999962449,29.45559995714575,9.319270133972168
global,1,45,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\005.png,14.822800061665475,3.9344000397250056,0.39050006307661533,9.056200040504336,28.203900204971433,8.747061729431152
global,1,46,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\006.png,14.842999982647598,3.7640000227838755,0.5567000480368733,8.332199999131262,27.49590005259961,8.606796264648438
global,1,47,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\007.png,14.915599953383207,3.877700073644519,0.556900049559772,8.36810003966093,27.71830011624843,4.218527793884277
global,1,48,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\008.png,17.175600049085915,4.521599970757961,0.453100074082613,8.523199940100312,30.6735000340268,8.423806190490723
global,1,49,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\009.png,17.13640009984374,4.590700031258166,0.5833000177517533,8.35030002053827,30.66070016939193,5.443727970123291
global,1,50,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\010.png,16.613899962976575,3.8270000368356705,0.5560999270528555,8.37130006402731,29.36829999089241,7.249807357788086
global,1,51,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\011.png,15.69180004298687,4.1603000136092305,0.6266999989748001,8.488599909469485,28.967399965040386,5.453526496887207
global,1,52,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\012.png,14.738500001840293,3.89960000757128,0.4518999485298991,12.184199993498623,31.274199951440096,10.358549118041992
global,1,53,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\013.png,14.633300015702844,4.170299973338842,0.525499926880002,10.053500067442656,29.382599983364344,5.407528877258301
global,1,54,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\014.png,15.591299976222217,3.8888000417500734,0.40550006087869406,12.313200044445693,32.19880012329668,5.1480865478515625
global,1,55,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\015.png,14.589800033718348,3.9567999774590135,0.41550002060830593,9.988999925553799,28.951099957339466,6.72030782699585
global,1,56,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\016.png,14.899099944159389,3.9705999661237,0.39850000757724047,11.445699958130717,30.713899875991046,5.688438415527344
global,1,57,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\017.png,15.086499974131584,3.982999944128096,0.40660006925463676,9.901099954731762,29.37719994224608,6.591012001037598
global,1,58,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\018.png,14.499499928206205,4.067200003191829,0.381799996830523,9.85709996894002,28.805599897168577,7.8438873291015625
global,1,59,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\019.png,14.855199959129095,4.063099971972406,0.5286999512463808,10.41129999794066,29.85829988028854,7.604406356811523
global,1,60,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\020.png,18.0269000120461,4.8056000377982855,0.606000074185431,10.301699978299439,33.740200102329254,5.945611000061035
global,1,61,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\021.png,17.905500018969178,4.796299966983497,0.4251999780535698,9.724000003188848,32.850999967195094,5.120784759521484
global,1,62,data\raw\mvtec_anomaly_detection\bottle\test\contamination\000.png,16.85790007468313,4.574099904857576,0.6162999197840691,12.865300057455897,34.91359995678067,11.47176456451416
global,1,63,data\raw\mvtec_anomaly_detection\bottle\test\contamination\001.png,17.67249999102205,4.579799948260188,0.4960000514984131,9.831300005316734,32.579599996097386,7.6522979736328125
global,1,64,data\raw\mvtec_anomaly_detection\bottle\test\contamination\002.png,15.486099990084767,4.360300023108721,0.36860001273453236,10.06899995263666,30.28399997856468,7.044689178466797
global,1,65,data\raw\mvtec_anomaly_detection\bottle\test\contamination\003.png,15.902600018307567,4.5137000270187855,0.5990000208839774,12.71980011370033,33.73510017991066,4.6928019523620605
global,1,66,data\raw\mvtec_anomaly_detection\bottle\test\contamination\004.png,16.910100006498396,3.8919999497011304,0.39760000072419643,13.470400008372962,34.670099965296686,5.177973747253418
global,1,67,data\raw\mvtec_anomaly_detection\bottle\test\contamination\005.png,17.087599961087108,4.555599996820092,0.447999918833375,10.784300044178963,32.87549992091954,13.80826187133789
global,1,68,data\raw\mvtec_anomaly_detection\bottle\test\contamination\006.png,16.13350003026426,4.585099988617003,0.5411000456660986,12.889700010418892,34.14940007496625,13.871114730834961
global,1,69,data\raw\mvtec_anomaly_detection\bottle\test\contamination\007.png,17.603900050744414,4.623699933290482,0.3844000166282058,12.338399887084961,34.95039988774806,12.646900177001953
global,1,70,data\raw\mvtec_anomaly_detection\bottle\test\contamination\008.png,16.05299999937415,4.31150000076741,0.5437000654637814,11.410200037062168,32.31840010266751,13.780007362365723
global,1,71,data\raw\mvtec_anomaly_detection\bottle\test\contamination\009.png,15.14189993031323,3.930300008505583,0.4304000176489353,9.83790005557239,29.34050001204014,10.758852005004883
global,1,72,data\raw\mvtec_anomaly_detection\bottle\test\contamination\010.png,14.744500047527254,3.9925999008119106,0.534999999217689,10.008200071752071,29.280300019308925,14.978758811950684
global,1,73,data\raw\mvtec_anomaly_detection\bottle\test\contamination\011.png,14.673899975605309,3.957799985073507,0.5478999810293317,10.805699974298477,29.985299916006625,11.607462882995605
global,1,74,data\raw\mvtec_anomaly_detection\bottle\test\contamination\012.png,15.063700033351779,3.8241000147536397,0.5297999596223235,10.980800027027726,30.39840003475547,14.590176582336426
global,1,75,data\raw\mvtec_anomaly_detection\bottle\test\contamination\013.png,14.832700020633638,3.964700037613511,0.516400090418756,9.946599951945245,29.26040010061115,11.32228946685791
