repeat,image_index,path,pair_order,method,order_position,latency_ms,score
0,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,patch_then_global,patch_layer3,1,25.434999959543347,2.826977014541626
0,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,patch_then_global,global,2,27.95019990298897,4.360477447509766
0,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,global_then_patch,global,1,29.345699935220182,10.836048126220703
0,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,global_then_patch,patch_layer3,2,23.08650000486523,4.441296100616455
0,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,patch_then_global,patch_layer3,1,26.407200028188527,4.98638391494751
0,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,patch_then_global,global,2,28.63489999435842,10.990410804748535
0,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,global_then_patch,global,1,31.086599919945,13.59360408782959
0,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,global_then_patch,patch_layer3,2,23.84499995969236,4.023044586181641
0,23,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,patch_then_global,patch_layer3,1,27.515299967490137,4.895201683044434
0,23,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,patch_then_global,global,2,27.40369993261993,14.632072448730469
0,24,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\004.png,global_then_patch,global,1,30.588200083002448,7.8201904296875
0,24,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\004.png,global_then_patch,patch_layer3,2,23.98389996960759,5.267384052276611
0,25,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\005.png,patch_then_global,patch_layer3,1,24.83150002080947,4.60845422744751
0,25,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\005.png,patch_then_global,global,2,29.920400003902614,5.357264041900635
0,26,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\006.png,global_then_patch,global,1,26.09130006749183,11.094615936279297
0,26,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\006.png,global_then_patch,patch_layer3,2,22.81370002310723,5.1306610107421875
0,27,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\007.png,patch_then_global,patch_layer3,1,22.732799989171326,3.9215714931488037
0,27,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\007.png,patch_then_global,global,2,25.8940999628976,12.122001647949219
0,28,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\008.png,global_then_patch,global,1,26.175800012424588,12.101668357849121
0,28,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\008.png,global_then_patch,patch_layer3,2,22.58250000886619,5.351531505584717
0,29,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\009.png,patch_then_global,patch_layer3,1,22.577099967747927,4.5694146156311035
0,29,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\009.png,patch_then_global,global,2,27.81419991515577,6.9920148849487305
0,30,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\010.png,global_then_patch,global,1,34.39819999039173,9.243770599365234
0,30,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\010.png,global_then_patch,patch_layer3,2,28.020699974149466,4.809571743011475
0,31,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\011.png,patch_then_global,patch_layer3,1,27.355200028978288,4.734049320220947
0,31,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\011.png,patch_then_global,global,2,31.887999968603253,7.065303325653076
0,32,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\012.png,global_then_patch,global,1,33.678999985568225,8.313075065612793
0,32,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\012.png,global_then_patch,patch_layer3,2,28.13450002577156,4.992427825927734
0,33,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\013.png,patch_then_global,patch_layer3,1,31.330600031651556,4.03297233581543
0,33,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\013.png,patch_then_global,global,2,30.89309995993972,12.109010696411133
0,34,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\014.png,global_then_patch,global,1,32.93029998894781,7.605070114135742
0,34,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\014.png,global_then_patch,patch_layer3,2,23.870500037446618,5.050408363342285
0,35,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\015.png,patch_then_global,patch_layer3,1,28.438599896617234,5.04150390625
0,35,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\015.png,patch_then_global,global,2,28.097499976865947,8.56758975982666
0,36,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\016.png,global_then_patch,global,1,27.803500066511333,12.617391586303711
0,36,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\016.png,global_then_patch,patch_layer3,2,23.36170000489801,4.210008144378662
0,37,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\017.png,patch_then_global,patch_layer3,1,25.260800030082464,4.592291355133057
0,37,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\017.png,patch_then_global,global,2,27.94749999884516,11.072623252868652
0,38,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\018.png,global_then_patch,global,1,34.0171999996528,13.511702537536621
0,38,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\018.png,global_then_patch,patch_layer3,2,23.887199931778014,4.579996585845947
0,39,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\019.png,patch_then_global,patch_layer3,1,27.662300039082766,4.464105606079102
0,39,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\019.png,patch_then_global,global,2,30.267000081948936,11.760765075683594
0,40,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\000.png,global_then_patch,global,1,32.44440001435578,4.970335483551025
0,40,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\000.png,global_then_patch,patch_layer3,2,24.1030000615865,3.866772174835205
0,41,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\001.png,patch_then_global,patch_layer3,1,26.090000057592988,5.003524303436279
0,41,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\001.png,patch_then_global,global,2,29.787999927066267,5.714139938354492
0,42,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\002.png,global_then_patch,global,1,30.859900056384504,7.034466743469238
0,42,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\002.png,global_then_patch,patch_layer3,2,25.507800048217177,4.251943588256836
0,43,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\003.png,patch_then_global,patch_layer3,1,29.09450000151992,4.884119510650635
0,43,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\003.png,patch_then_global,global,2,26.943899923935533,10.017216682434082
0,44,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\004.png,global_then_patch,global,1,26.85389993712306,9.319269180297852
0,44,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\004.png,global_then_patch,patch_layer3,2,23.017300060018897,5.898159503936768
0,45,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\005.png,patch_then_global,patch_layer3,1,29.341300018131733,4.653104305267334
0,45,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\005.png,patch_then_global,global,2,26.433699997141957,8.74705982208252
0,46,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\006.png,global_then_patch,global,1,26.711300015449524,8.606796264648438
0,46,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\006.png,global_then_patch,patch_layer3,2,23.8893999485299,4.667858123779297
0,47,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\007.png,patch_then_global,patch_layer3,1,23.781800060532987,3.787731170654297
0,47,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\007.png,patch_then_global,global,2,32.12259989231825,4.218528747558594
0,48,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\008.png,global_then_patch,global,1,33.91130000818521,8.423806190490723
0,48,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\008.png,global_then_patch,patch_layer3,2,24.87630001269281,3.8025622367858887
0,49,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\009.png,patch_then_global,patch_layer3,1,27.749600005336106,4.7039313316345215
0,49,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\009.png,patch_then_global,global,2,28.417599969543517,5.443728446960449
0,50,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\010.png,global_then_patch,global,1,28.39810005389154,7.249805927276611
0,50,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\010.png,global_then_patch,patch_layer3,2,23.771599982865155,4.85495138168335
0,51,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\011.png,patch_then_global,patch_layer3,1,26.16479992866516,4.319806098937988
0,51,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\011.png,patch_then_global,global,2,30.97880003042519,5.453526020050049
0,52,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\012.png,global_then_patch,global,1,31.538599985651672,10.35854721069336
0,52,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\012.png,global_then_patch,patch_layer3,2,24.027799954637885,4.648650169372559
0,53,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\013.png,patch_then_global,patch_layer3,1,28.40990002732724,4.230384349822998
0,53,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\013.png,patch_then_global,global,2,32.97029994428158,5.407527923583984
0,54,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\014.png,global_then_patch,global,1,32.30410011019558,5.148087024688721
0,54,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\014.png,global_then_patch,patch_layer3,2,24.14679992944002,4.00904655456543
0,55,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\015.png,patch_then_global,patch_layer3,1,25.949900038540363,3.8369622230529785
0,55,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\015.png,patch_then_global,global,2,31.670500058680773,6.720308780670166
0,56,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\016.png,global_then_patch,global,1,29.324300005100667,5.688437461853027
0,56,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\016.png,global_then_patch,patch_layer3,2,26.905199978500605,5.2383341789245605
0,57,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\017.png,patch_then_global,patch_layer3,1,25.453399983234704,5.041371822357178
0,57,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\017.png,patch_then_global,global,2,29.11659993696958,6.591011047363281
0,58,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\018.png,global_then_patch,global,1,29.93330010212958,7.843886852264404
0,58,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\018.png,global_then_patch,patch_layer3,2,27.426499989815056,5.599959850311279
0,59,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\019.png,patch_then_global,patch_layer3,1,25.219400064088404,5.2333831787109375
0,59,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\019.png,patch_then_global,global,2,36.16129991132766,7.604405403137207
0,60,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\020.png,global_then_patch,global,1,37.51449997071177,5.945611000061035
0,60,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\020.png,global_then_patch,patch_layer3,2,24.370500002987683,4.951473236083984
0,61,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\021.png,patch_then_global,patch_layer3,1,23.427399923093617,4.783029556274414
0,61,data\raw\mvtec_anomaly_detection\bottle\test\broken_small\021.png,patch_then_global,global,2,27.20670006237924,5.120784759521484
0,62,data\raw\mvtec_anomaly_detection\bottle\test\contamination\000.png,global_then_patch,global,1,30.316099990159273,11.471765518188477
0,62,data\raw\mvtec_anomaly_detection\bottle\test\contamination\000.png,global_then_patch,patch_layer3,2,26.317200041376054,3.85286808013916
0,63,data\raw\mvtec_anomaly_detection\bottle\test\contamination\001.png,patch_then_global,patch_layer3,1,24.922899901866913,3.246551513671875
0,63,data\raw\mvtec_anomaly_detection\bottle\test\contamination\001.png,patch_then_global,global,2,27.19350007828325,7.652298927307129
0,64,data\raw\mvtec_anomaly_detection\bottle\test\contamination\002.png,global_then_patch,global,1,29.357199906371534,7.044688701629639
0,64,data\raw\mvtec_anomaly_detection\bottle\test\contamination\002.png,global_then_patch,patch_layer3,2,28.311200090683997,3.703580856323242
0,65,data\raw\mvtec_anomaly_detection\bottle\test\contamination\003.png,patch_then_global,patch_layer3,1,26.113900006748736,3.0024991035461426
0,65,data\raw\mvtec_anomaly_detection\bottle\test\contamination\003.png,patch_then_global,global,2,30.544400098733604,4.69280481338501
0,66,data\raw\mvtec_anomaly_detection\bottle\test\contamination\004.png,global_then_patch,global,1,34.006400033831596,5.177974224090576
0,66,data\raw\mvtec_anomaly_detection\bottle\test\contamination\004.png,global_then_patch,patch_layer3,2,28.4939999692142,3.210782527923584
0,67,data\raw\mvtec_anomaly_detection\bottle\test\contamination\005.png,patch_then_global,patch_layer3,1,26.57849993556738,4.765796184539795
0,67,data\raw\mvtec_anomaly_detection\bottle\test\contamination\005.png,patch_then_global,global,2,29.625099967233837,13.80826187133789
0,68,data\raw\mvtec_anomaly_detection\bottle\test\contamination\006.png,global_then_patch,global,1,32.27259998675436,13.871113777160645
0,68,data\raw\mvtec_anomaly_detection\bottle\test\contamination\006.png,global_then_patch,patch_layer3,2,28.46599998883903,3.7494707107543945
0,69,data\raw\mvtec_anomaly_detection\bottle\test\contamination\007.png,patch_then_global,patch_layer3,1,27.909500058740377,5.8186140060424805
0,69,data\raw\mvtec_anomaly_detection\bottle\test\contamination\007.png,patch_then_global,global,2,32.173699932172894,12.646900177001953
0,70,data\raw\mvtec_anomaly_detection\bottle\test\contamination\008.png,global_then_patch,global,1,30.478499946184456,13.780010223388672
0,70,data\raw\mvtec_anomaly_detection\bottle\test\contamination\008.png,global_then_patch,patch_layer3,2,28.378400020301342,4.308222770690918
0,71,data\raw\mvtec_anomaly_detection\bottle\test\contamination\009.png,patch_then_global,patch_layer3,1,26.425399933941662,4.494120121002197
0,71,data\raw\mvtec_anomaly_detection\bottle\test\contamination\009.png,patch_then_global,global,2,32.36449998803437,10.758851051330566
0,72,data\raw\mvtec_anomaly_detection\bottle\test\contamination\010.png,global_then_patch,global,1,33.79719995427877,14.978759765625
0,72,data\raw\mvtec_anomaly_detection\bottle\test\contamination\010.png,global_then_patch,patch_layer3,2,29.352499986998737,4.349096775054932
0,73,data\raw\mvtec_anomaly_detection\bottle\test\contamination\011.png,patch_then_global,patch_layer3,1,27.407599962316453,4.035783290863037
0,73,data\raw\mvtec_anomaly_detection\bottle\test\contamination\011.png,patch_then_global,global,2,30.89729999192059,11.607462882995605
0,74,data\raw\mvtec_anomaly_detection\bottle\test\contamination\012.png,global_then_patch,global,1,41.13350005354732,14.590178489685059
0,74,data\raw\mvtec_anomaly_detection\bottle\test\contamination\012.png,global_then_patch,patch_layer3,2,28.589499997906387,3.4791982173919678
0,75,data\raw\mvtec_anomaly_detection\bottle\test\contamination\013.png,patch_then_global,patch_layer3,1,30.060700024478137,4.929323196411133
0,75,data\raw\mvtec_anomaly_detection\bottle\test\contamination\013.png,patch_then_global,global,2,36.608300055377185,11.32228946685791
0,76,data\raw\mvtec_anomaly_detection\bottle\test\contamination\014.png,global_then_patch,global,1,30.159799964167178,6.655355453491211
0,76,data\raw\mvtec_anomaly_detection\bottle\test\contamination\014.png,global_then_patch,patch_layer3,2,27.57099992595613,2.977785587310791
0,77,data\raw\mvtec_anomaly_detection\bottle\test\contamination\015.png,patch_then_global,patch_layer3,1,31.123399967327714,4.451267242431641
0,77,data\raw\mvtec_anomaly_detection\bottle\test\contamination\015.png,patch_then_global,global,2,29.359100037254393,11.90401554107666
0,78,data\raw\mvtec_anomaly_detection\bottle\test\contamination\016.png,global_then_patch,global,1,28.00950000528246,9.378031730651855
0,78,data\raw\mvtec_anomaly_detection\bottle\test\contamination\016.png,global_then_patch,patch_layer3,2,24.171900004148483,3.4147942066192627
0,79,data\raw\mvtec_anomaly_detection\bottle\test\contamination\017.png,patch_then_global,patch_layer3,1,24.407199933193624,5.81524133682251
0,79,data\raw\mvtec_anomaly_detection\bottle\test\contamination\017.png,patch_then_global,global,2,27.619500062428415,12.318655014038086
0,80,data\raw\mvtec_anomaly_detection\bottle\test\contamination\018.png,global_then_patch,global,1,27.226999984122813,6.627110958099365
0,80,data\raw\mvtec_anomaly_detection\bottle\test\contamination\018.png,global_then_patch,patch_layer3,2,23.55190005619079,4.973021984100342
0,81,data\raw\mvtec_anomaly_detection\bottle\test\contamination\019.png,patch_then_global,patch_layer3,1,25.285000097937882,3.1189873218536377
0,81,data\raw\mvtec_anomaly_detection\bottle\test\contamination\019.png,patch_then_global,global,2,33.114499994553626,4.945805072784424
0,82,data\raw\mvtec_anomaly_detection\bottle\test\contamination\020.png,global_then_patch,global,1,31.237400020472705,12.403044700622559
0,82,data\raw\mvtec_anomaly_detection\bottle\test\contamination\020.png,global_then_patch,patch_layer3,2,27.603100053966045,3.1803042888641357
1,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,patch_then_global,patch_layer3,1,25.70399991236627,2.6770708560943604
1,0,data\raw\mvtec_anomaly_detection\bottle\test\good\000.png,patch_then_global,global,2,31.048899982124567,4.017111778259277
1,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,global_then_patch,global,1,29.93740001693368,3.3643033504486084
1,1,data\raw\mvtec_anomaly_detection\bottle\test\good\001.png,global_then_patch,patch_layer3,2,25.651599979028106,2.681241273880005
1,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,patch_then_global,patch_layer3,1,24.94160004425794,2.7068002223968506
1,2,data\raw\mvtec_anomaly_detection\bottle\test\good\002.png,patch_then_global,global,2,31.485899933613837,4.055006504058838
1,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,global_then_patch,global,1,34.273400087840855,4.034146308898926
1,3,data\raw\mvtec_anomaly_detection\bottle\test\good\003.png,global_then_patch,patch_layer3,2,27.33979991171509,2.7398006916046143
1,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,patch_then_global,patch_layer3,1,28.516800026409328,2.6961357593536377
1,4,data\raw\mvtec_anomaly_detection\bottle\test\good\004.png,patch_then_global,global,2,32.97579998616129,3.626999616622925
1,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,global_then_patch,global,1,32.92630007490516,3.4188554286956787
1,5,data\raw\mvtec_anomaly_detection\bottle\test\good\005.png,global_then_patch,patch_layer3,2,26.199499960057437,2.7214548587799072
1,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,patch_then_global,patch_layer3,1,29.53589998651296,2.781585693359375
1,6,data\raw\mvtec_anomaly_detection\bottle\test\good\006.png,patch_then_global,global,2,33.631599973887205,7.6024603843688965
1,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,global_then_patch,global,1,31.466700020246208,3.7244253158569336
1,7,data\raw\mvtec_anomaly_detection\bottle\test\good\007.png,global_then_patch,patch_layer3,2,24.660700000822544,2.7815933227539062
1,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,patch_then_global,patch_layer3,1,26.210000040009618,2.761549234390259
1,8,data\raw\mvtec_anomaly_detection\bottle\test\good\008.png,patch_then_global,global,2,31.368100084364414,4.842831134796143
1,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,global_then_patch,global,1,29.57140002399683,3.3345985412597656
1,9,data\raw\mvtec_anomaly_detection\bottle\test\good\009.png,global_then_patch,patch_layer3,2,25.653699995018542,2.7066855430603027
1,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,patch_then_global,patch_layer3,1,25.33499989658594,2.860560178756714
1,10,data\raw\mvtec_anomaly_detection\bottle\test\good\010.png,patch_then_global,global,2,32.10740000940859,4.065393924713135
1,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,global_then_patch,global,1,32.66619995702058,3.5150983333587646
1,11,data\raw\mvtec_anomaly_detection\bottle\test\good\011.png,global_then_patch,patch_layer3,2,24.969200021587312,2.6874184608459473
1,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,patch_then_global,patch_layer3,1,23.520900052972138,2.7570858001708984
1,12,data\raw\mvtec_anomaly_detection\bottle\test\good\012.png,patch_then_global,global,2,27.601800044067204,3.5498414039611816
1,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,global_then_patch,global,1,28.939299983903766,3.0069215297698975
1,13,data\raw\mvtec_anomaly_detection\bottle\test\good\013.png,global_then_patch,patch_layer3,2,23.53989996481687,2.7480809688568115
1,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,patch_then_global,patch_layer3,1,23.793700034730136,2.782339096069336
1,14,data\raw\mvtec_anomaly_detection\bottle\test\good\014.png,patch_then_global,global,2,27.642000000923872,3.568523645401001
1,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,global_then_patch,global,1,32.904200023040175,4.474905967712402
1,15,data\raw\mvtec_anomaly_detection\bottle\test\good\015.png,global_then_patch,patch_layer3,2,26.117100031115115,2.729416608810425
1,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,patch_then_global,patch_layer3,1,26.28670004196465,2.753270387649536
1,16,data\raw\mvtec_anomaly_detection\bottle\test\good\016.png,patch_then_global,global,2,29.492400004528463,3.8763203620910645
1,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,global_then_patch,global,1,31.942400033585727,3.6931324005126953
1,17,data\raw\mvtec_anomaly_detection\bottle\test\good\017.png,global_then_patch,patch_layer3,2,26.186899980530143,2.791172742843628
1,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,patch_then_global,patch_layer3,1,23.520100046880543,2.7120490074157715
1,18,data\raw\mvtec_anomaly_detection\bottle\test\good\018.png,patch_then_global,global,2,31.837399932555854,4.722544193267822
1,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,global_then_patch,global,1,29.82449997216463,4.360477447509766
1,19,data\raw\mvtec_anomaly_detection\bottle\test\good\019.png,global_then_patch,patch_layer3,2,26.488299947232008,2.826977014541626
1,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,patch_then_global,patch_layer3,1,26.689400081522763,4.441296100616455
1,20,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\000.png,patch_then_global,global,2,31.75680001731962,10.836048126220703
1,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,global_then_patch,global,1,32.24269999191165,10.990410804748535
1,21,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\001.png,global_then_patch,patch_layer3,2,25.648599956184626,4.98638391494751
1,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,patch_then_global,patch_layer3,1,25.201399927027524,4.023044586181641
1,22,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\002.png,patch_then_global,global,2,29.441899969242513,13.59360408782959
1,23,data\raw\mvtec_anomaly_detection\bottle\test\broken_large\003.png,global_then_patch,global,1,31.01719997357577,14.632072448730469
