path,class,label,max,top5_mean,top20_mean,mean
data\raw\mvtec_anomaly_detection\bottle\test\contamination\003.png,contamination,1,3.9571471214294434,3.7262070178985596,3.4937191009521484,2.56715726852417
data\raw\mvtec_anomaly_detection\bottle\test\contamination\004.png,contamination,1,3.9631948471069336,3.849494218826294,3.595541000366211,2.5339975357055664
data\raw\mvtec_anomaly_detection\bottle\test\contamination\005.png,contamination,1,4.392537593841553,4.283072471618652,4.062320709228516,2.6962759494781494
data\raw\mvtec_anomaly_detection\bottle\test\contamination\006.png,contamination,1,4.605813503265381,4.2165632247924805,3.8828647136688232,2.662956476211548
data\raw\mvtec_anomaly_detection\bottle\test\contamination\007.png,contamination,1,6.2771220207214355,5.657112121582031,4.818408012390137,2.7266390323638916
data\raw\mvtec_anomaly_detection\bottle\test\contamination\008.png,contamination,1,4.776125907897949,4.721254825592041,3.940385103225708,2.6305274963378906
data\raw\mvtec_anomaly_detection\bottle\test\contamination\009.png,contamination,1,4.786855697631836,4.359123229980469,3.770185947418213,2.5847606658935547
data\raw\mvtec_anomaly_detection\bottle\test\contamination\010.png,contamination,1,4.617636680603027,4.189411163330078,3.7779853343963623,2.6391162872314453
data\raw\mvtec_anomaly_detection\bottle\test\contamination\011.png,contamination,1,4.344241619110107,4.072774887084961,3.853546142578125,2.653813600540161
data\raw\mvtec_anomaly_detection\bottle\test\contamination\012.png,contamination,1,3.8498642444610596,3.6556785106658936,3.5291550159454346,2.5994255542755127
data\raw\mvtec_anomaly_detection\bottle\test\contamination\013.png,contamination,1,5.462547302246094,4.82513427734375,4.203394889831543,2.613537311553955
data\raw\mvtec_anomaly_detection\bottle\test\contamination\014.png,contamination,1,4.853261947631836,4.026892185211182,3.6091625690460205,2.5599613189697266
data\raw\mvtec_anomaly_detection\bottle\test\contamination\015.png,contamination,1,5.274644374847412,4.502686977386475,3.8893332481384277,2.6167540550231934
data\raw\mvtec_anomaly_detection\bottle\test\contamination\016.png,contamination,1,5.2239227294921875,4.256184101104736,3.8157246112823486,2.6474709510803223
data\raw\mvtec_anomaly_detection\bottle\test\contamination\017.png,contamination,1,5.910979747772217,5.344450950622559,4.532414436340332,2.7003355026245117
data\raw\mvtec_anomaly_detection\bottle\test\contamination\018.png,contamination,1,6.144801616668701,5.613771915435791,4.625525951385498,2.617675542831421
data\raw\mvtec_anomaly_detection\bottle\test\contamination\019.png,contamination,1,4.039085865020752,3.7182776927948,3.504880905151367,2.5070559978485107
data\raw\mvtec_anomaly_detection\bottle\test\contamination\020.png,contamination,1,4.050484657287598,3.8071799278259277,3.5999748706817627,2.5984983444213867
